pasta,origem,destino,motivo
7891025112709,7891025112686_6.jpg,7891025112709_6.jpg,padronizacao_nome
7891025112709,7891025112686_7.jpg,7891025112709_7.jpg,padronizacao_nome
7891025112709,7891025112686_8.jpg,7891025112709_8.jpg,padronizacao_nome
7891025112914,7891025112914_01.jpg,7891025112914_1.jpg,padronizacao_nome
7891025117377,7891025117377-Activia_Shot_Probi_ticos_Framboesa_e_Hibisco_6x100g_6_unidades-(1).jpg,7891025117377_1.jpg,padronizacao_nome
7891025118978,2.jpg,7891025118978_2.jpg,padronizacao_nome
7891025118978,4.jpg,7891025118978_4.jpg,padronizacao_nome
7891025118978,5.jpg,7891025118978_5.jpg,padronizacao_nome
7891025118978,7891025118978_1A.jpg,7891025118978_1.jpg,padronizacao_nome
7891025118978,7891025118978_1B.jpg,7891025118978_3.jpg,ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade
7891025118978,7891025118978_03.jpg,7891025118978_6.jpg,ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade
7891025118978,7891025118978_06.jpg,7891025118978_7.jpg,ajuste_para_evitar_duplicidade
7891025118978,7891025118978_07.jpg,7891025118978_8.jpg,ajuste_para_evitar_duplicidade
7891025118978,7891025118978_08 (opcional).jpg,7891025118978_9.jpg,ajuste_para_evitar_duplicidade
7891025118978,7891025118978_9A.jpg,7891025118978_10.jpg,ajuste_para_evitar_duplicidade
7891025118978,7891025118978_9B.jpg,7891025118978_11.jpg,ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade
7891025118978,7891025118978_9C.jpg,7891025118978_12.jpg,ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade
7891025118978,7891025118978_Número 10.jpg,7891025118978_13.jpg,ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade
7891025118978,7891025118978_Número 11.jpg,7891025118978_14.jpg,ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade
7891025118978,7891025118978_Para Mundo Danone 1.jpg,7891025118978_15.jpg,ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade
7891025118978,7891025118978_Para Mundo Danone 2.jpg,7891025118978_16.jpg,ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade;ajuste_para_evitar_duplicidade
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(1).jpg,7891025118985_1.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(2).jpg,7891025118985_2.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(3).jpg,7891025118985_3.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(4).jpg,7891025118985_4.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(5).jpg,7891025118985_5.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(6).jpg,7891025118985_6.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(7).jpg,7891025118985_7.jpg,padronizacao_nome
